,CellLine,Drug,ec50UM,ic50UM,aMax,actArea
1,TT2609C02_THYROID,17-AAG,0.06606577,0.07478773,-77.578033,3.9975
6,TT2609C02_THYROID,Irinotecan,0.08537858,0.10027902,-88.535095,3.5752
12,TT2609C02_THYROID,PD-0325901,6.95952805,0.02921496,-76.44178,4.2844
18,TT2609C02_THYROID,Panobinostat,0.01835713,0.02356661,-96.497353,4.9275
19,TT2609C02_THYROID,RAF265,0.12657484,0.2111899,-89.153511,3.237
23,TT2609C02_THYROID,Topotecan,0.15910636,0.18774821,-88.510132,3.3499
17,TT2609C02_THYROID,Paclitaxel,0.01163225,8,-88.158577,6.6567
21,TT2609C02_THYROID,TAE684,5.11792851,1.67544615,-82.477684,2.1649
9,TT2609C02_THYROID,Lapatinib,4.60025024,8,-33.23505,0.4612
11,TT2609C02_THYROID,Nutlin-3,-1,8,-3.717157,0.2607
14,TT2609C02_THYROID,PF2341066,-1,1.4658753,-68.451988,0.6655
15,TT2609C02_THYROID,PHA-665752,-1,8,4.399388,0.1429
16,TT2609C02_THYROID,PLX4720,-1,8,-5.831559,0.1878
20,TT2609C02_THYROID,Sorafenib,-1,8,0.267929,0.5484
11373,TOV21G_OVARY,17-AAG,0.01837355,0.01931586,-86.468941,3.9631
6413,TOV21G_OVARY,Irinotecan,0.44137219,0.34519336,-96.978577,2.6233
17413,TOV21G_OVARY,Paclitaxel,0.01063237,0.00394157,-78.858177,5.0367
18375,TOV21G_OVARY,Panobinostat,0.04107976,0.04865721,-95.046577,3.7608
19226,TOV21G_OVARY,RAF265,0.09850354,0.11716542,-84.055038,3.3561
23285,TOV21G_OVARY,Topotecan,0.26512805,0.22110626,-98.245316,2.732
10,TOV21G_OVARY,Nilotinib,-1,8,-3.709532,0.1506
22,TOV21G_OVARY,TKI258,1.81682742,2.15144301,-82.094368,1.7314
7,TOV21G_OVARY,L-685458,8.41206518,8,-46.559124,0.2344
11419,TOV21G_OVARY,Nutlin-3,8.46376327,8,-31.728937,0.3815
13,TOV21G_OVARY,PD-0332991 ,9.53291332,8,-18.151745,0.1943
14234,TOV21G_OVARY,PF2341066,3.54576254,6.56705523,-54.130085,0.415
15353,TOV21G_OVARY,PHA-665752,7.9048872,8,-47.664074,0.3605
11420,TOV112D_OVARY,17-AAG,0.30504522,0.38305587,-77.222847,2.6725
6412,TOV112D_OVARY,Irinotecan,0.12206876,0.12415128,-97.492378,3.8142
17416,TOV112D_OVARY,Paclitaxel,5.59118434,0.00524993,-97.159203,6.2674
18376,TOV112D_OVARY,Panobinostat,0.05821462,0.06078333,-97.303635,4.3584
21215,TOV112D_OVARY,TAE684,1.49516201,2.20389462,-72.149574,1.4665
